Ticker,Date,Close,Shares Outstanding,Report Date,total debt,long term debt,fiscal year,beta,coe,weird tax rate,cod,market cap,Wacc
GRA,2018-12-31,64.91,66792968.0,2018-12-31,3228300000,1961000000.0,2018,1.56,0.11080000000000001,0.3189056757860351,0.019625809249450177,4335531552.88,0.07012711908650822
GRMN,2018-12-31,63.32,189461000.0,2018-12-31,1219884000,,2018,1.0,0.08,0.15689944816075851,-0.030532517845959124,11996670520.0,0.07038969176816894
GRUB,2018-12-31,76.81,90756548.0,2018-12-31,623369000,335548000.0,2018,1.23,0.09265000000000001,0.03625066005182176,0.004473594291663526,6971010451.88,0.08533510808526325
GSHD,2018-12-31,26.29,36285747.0,2018-12-31,60001000,50495000.0,2018,0.8,0.069,-0.024645954550444715,0.05616806386560224,953952288.63,0.06754267606154074
GT,2018-12-31,20.41,232000000.0,2018-12-31,11802000000,5110000000.0,2018,2.04,0.13720000000000002,0.2997032640949555,0.021487036095577023,4735120000.0,0.051399189459833405
GWW,2018-12-31,282.36,55862360.0,2018-12-31,3780000000,2090000000.0,2018,0.99,0.07944999999999999,0.23866790009250693,0.01713756613756614,15773295969.6,0.06670816862858561
Golf,2018-12-31,21.07,74760062.0,2018-12-31,764637000,346953000.0,2018,0.9,0.07450000000000001,0.31424313391526504,0.019012394116423872,1575194506.34,0.05506237460827181
H,2018-12-31,67.6,106623645.0,2018-12-31,3966000000,1623000000.0,2018,1.41,0.10255,0.19137749737118825,0.0151386787695411,7207758401.999999,0.07039593982847418
HAL,2018-12-31,26.58,871000000.0,2018-12-31,16438000000,10421000000.0,2018,2.57,0.16635,0.08654906284454245,0.026624893539360022,23151180000.0,0.10601255678950663
HALO,2018-12-31,14.63,142789000.0,2018-12-31,191361000,34874000.0,2018,1.83,0.12565,-0.006729913651573494,0.07447907358343656,2089003070.0,0.12004338581141563
HAS,2018-12-31,81.25,126507478.0,2018-12-31,3508502000,1695092000.0,2018,0.95,0.07725,0.1847915326070073,0.015416981378377438,10278732587.5,0.06069118429616153
HBI,2018-12-31,12.53,361330128.0,2018-12-31,6285675000,3534183000.0,2018,1.55,0.11025000000000001,0.14499884831986098,0.024467260874925924,4527466503.84,0.057397736756515466
HCA,2018-12-31,124.45,342895200.0,2018-12-31,42125000000,32033000000.0,2018,1.31,0.09705,0.17731958762886602,0.03291275964391692,42673307640.0,0.06175524196418975
HCCI,2019-01-31,25.6,23058584.0,2019-01-31,93591000,29046000.0,2018,1.64,0.1152,0.26604519498267365,0.008879913666912417,590299750.4,0.1003948136539675
HCHC,2018-12-31,2.64,44907818.0,2018-12-31,6281800000,743900000.0,2018,2.22,0.1471,0.013165112452002248,0.009520042026170843,118556639.52000001,0.010106319900049045
HCSG,2018-12-31,40.18,73877000.0,2018-12-31,251823000,58904000.0,2018,0.62,0.0591,0.16400760684616156,0.0010258395777986919,2968377860.0,0.054541694714658265
HDS,2019-02-28,43.01,170700000.0,2019-02-28,2952000000,2129000000.0,2018,1.18,0.08990000000000001,0.2566539923954373,0.034522357723577236,7341807000.0,0.07194008487821854
HEAR,2018-12-31,14.27,14268184.0,2018-12-31,84424000,0.0,2018,1.82,0.12510000000000002,0.04244142008942753,0.04992241542689283,203606985.68,0.09999204544112994
